X:/Grocery stores/Grocery_products/Training//Food/Tea/51.jpg,[-320, 123],[571, 123],[571, 787],[-320, 787],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[-98, 1778],[635, 1778],[635, 2328],[-98, 2328],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[1634, 1155],[2641, 1155],[2641, 1758],[1634, 1758],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[1634, 1775],[2588, 1775],[2588, 2358],[1634, 2358],
X:/Grocery stores/Grocery_products/Training//Food/Tea/31.jpg,[1878, 206],[3084, 206],[3084, 687],[1878, 687],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[239, 1120],[954, 1120],[954, 1509],[239, 1509],
X:/Grocery stores/Grocery_products/Training//Food/Tea/45.jpg,[2548, 1666],[3323, 1666],[3323, 2129],[2548, 2129],
X:/Grocery stores/Grocery_products/Training//Food/Tea/45.jpg,[2616, 1123],[3306, 1123],[3306, 1638],[2616, 1638],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[642, 1165],[1607, 1165],[1607, 1773],[642, 1773],
X:/Grocery stores/Grocery_products/Training//Food/Tea/44.jpg,[652, 1770],[1609, 1770],[1609, 2365],[652, 2365],
X:/Grocery stores/Grocery_products/Training//Food/Tea/31.jpg,[672, 219],[1858, 219],[1858, 719],[672, 719],
