X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/19.jpg,[1190, 702],[2234, 702],[2234, 1237],[1190, 1237],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/32.jpg,[1225, -40],[2282, -40],[2282, 490],[1225, 490],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/19.jpg,[1320, 2027],[2247, 2027],[2247, 2455],[1320, 2455],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/19.jpg,[1323, 1429],[2282, 1429],[2282, 1885],[1323, 1885],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/106.jpg,[199, 1441],[1245, 1441],[1245, 1890],[199, 1890],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/18.jpg,[2304, 712],[3333, 712],[3333, 1235],[2304, 1235],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/31.jpg,[2334, -13],[3293, -13],[3293, 468],[2334, 468],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/18.jpg,[2384, 1429],[3306, 1429],[3306, 1895],[2384, 1895],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/18.jpg,[2394, 2039],[3398, 2039],[3398, 2495],[2394, 2495],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/106.jpg,[271, 2027],[1273, 2027],[1273, 2480],[271, 2480],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/39.jpg,[2, -30],[1151, -30],[1151, 488],[2, 488],
X:/Grocery stores/Grocery_products/Training//Food/Candy/Chocolate/106.jpg,[82, 612],[1103, 612],[1103, 1230],[82, 1230],
