X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[-339, 1676],[315, 1676],[315, 3101],[-339, 3101],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[1205, 1700],[1707, 1700],[1707, 3151],[1205, 3151],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/34.jpg,[1345, 292],[1743, 292],[1743, 1414],[1345, 1414],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[1657, 1733],[2152, 1733],[2152, 3127],[1657, 3127],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/34.jpg,[1717, 268],[2089, 268],[2089, 1364],[1717, 1364],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Choco/12.jpg,[192, 209],[548, 209],[548, 1321],[192, 1321],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/34.jpg,[2042, 325],[2504, 325],[2504, 1394],[2042, 1394],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[2069, 1706],[2517, 1706],[2517, 3144],[2069, 3144],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[398, 1706],[714, 1706],[714, 3097],[398, 3097],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Choco/12.jpg,[591, 249],[953, 249],[953, 1351],[591, 1351],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/29.jpg,[823, 1680],[1215, 1680],[1215, 3127],[823, 3127],
X:/Grocery stores/Grocery_products/Training//Food/Drinks/Milk/34.jpg,[986, 268],[1351, 268],[1351, 1371],[986, 1371],
