X:/Grocery stores/Grocery_products/Training//Food/Tea/23.jpg,[-113, 2126],[525, 2126],[525, 2502],[-113, 2502],
X:/Grocery stores/Grocery_products/Training//Food/Tea/48.jpg,[1163, 2071],[1838, 2071],[1838, 2480],[1163, 2480],
X:/Grocery stores/Grocery_products/Training//Food/Tea/57.jpg,[1572, 856],[1948, 856],[1948, 1382],[1572, 1382],
X:/Grocery stores/Grocery_products/Training//Food/Tea/57.jpg,[1589, 341],[1945, 341],[1945, 861],[1589, 861],
X:/Grocery stores/Grocery_products/Training//Food/Tea/48.jpg,[1856, 1663],[2523, 1663],[2523, 2101],[1856, 2101],
X:/Grocery stores/Grocery_products/Training//Food/Tea/48.jpg,[1858, 2094],[2514, 2094],[2514, 2487],[1858, 2487],
X:/Grocery stores/Grocery_products/Training//Food/Tea/57.jpg,[1948, 338],[2319, 338],[2319, 844],[1948, 844],
X:/Grocery stores/Grocery_products/Training//Food/Tea/57.jpg,[1948, 856],[2352, 856],[2352, 1382],[1948, 1382],
X:/Grocery stores/Grocery_products/Training//Food/Tea/59.jpg,[2329, 348],[2720, 348],[2720, 849],[2329, 849],
X:/Grocery stores/Grocery_products/Training//Food/Tea/59.jpg,[2359, 844],[2785, 844],[2785, 1407],[2359, 1407],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[246, 1085],[874, 1085],[874, 1369],[246, 1369],
X:/Grocery stores/Grocery_products/Training//Food/Tea/67.jpg,[2519, 1857],[2994, 1857],[2994, 2502],[2519, 2502],
X:/Grocery stores/Grocery_products/Training//Food/Tea/59.jpg,[2713, 363],[3104, 363],[3104, 861],[2713, 861],
X:/Grocery stores/Grocery_products/Training//Food/Tea/59.jpg,[2773, 859],[3199, 859],[3199, 1384],[2773, 1384],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[298, 734],[929, 734],[929, 1058],[298, 1058],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[344, 427],[944, 427],[944, 710],[344, 710],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[353, 410],[959, 410],[959, 744],[353, 744],
X:/Grocery stores/Grocery_products/Training//Food/Tea/48.jpg,[568, 2134],[1136, 2134],[1136, 2510],[568, 2510],
X:/Grocery stores/Grocery_products/Training//Food/Tea/48.jpg,[585, 1683],[1195, 1683],[1195, 2086],[585, 2086],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[899, 1070],[1549, 1070],[1549, 1367],[899, 1367],
X:/Grocery stores/Grocery_products/Training//Food/Tea/33.jpg,[939, 737],[1567, 737],[1567, 1065],[939, 1065],
