X:/Grocery stores/Grocery_products/Training//Food/Biscuits/12.jpg,[-147, 2961],[694, 2961],[694, 3220],[-147, 3220],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/6.jpg,[-177, 1560],[684, 1560],[684, 1899],[-177, 1899],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/12.jpg,[-203, 2516],[717, 2516],[717, 2971],[-203, 2971],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/3.jpg,[-270, 142],[621, 142],[621, 444],[-270, 444],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/6.jpg,[-412, 1935],[637, 1935],[637, 2254],[-412, 2254],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/3.jpg,[-70, 441],[677, 441],[677, 796],[-70, 796],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/24.jpg,[1770, 2882],[2657, 2882],[2657, 3197],[1770, 3197],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/28.jpg,[1836, 1972],[2810, 1972],[2810, 2231],[1836, 2231],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/24.jpg,[1840, 2566],[2614, 2566],[2614, 2809],[1840, 2809],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/28.jpg,[1893, 1646],[2833, 1646],[2833, 2002],[1893, 2002],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/10.jpg,[730, 1630],[1787, 1630],[1787, 1932],[730, 1932],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/10.jpg,[740, 1945],[1740, 1945],[1740, 2237],[740, 2237],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/33.jpg,[747, 2898],[1707, 2898],[1707, 3180],[747, 3180],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/33.jpg,[770, 2540],[1697, 2540],[1697, 2799],[770, 2799],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/37.jpg,[787, 451],[1883, 451],[1883, 846],[787, 846],
X:/Grocery stores/Grocery_products/Training//Food/Biscuits/37.jpg,[793, 96],[1923, 96],[1923, 498],[793, 498],
