X:/Grocery stores/Grocery_products/Training//Food/Coffee/12.jpg,[-60, 1451],[388, 1451],[388, 2395],[-60, 2395],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/22.jpg,[1569, 1474],[2127, 1474],[2127, 2435],[1569, 2435],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/18.jpg,[1622, 293],[2170, 293],[2170, 1073],[1622, 1073],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/19.jpg,[164, 428],[573, 428],[573, 1065],[164, 1065],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/22.jpg,[2105, 1484],[2526, 1484],[2526, 2301],[2105, 2301],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/23.jpg,[2180, 368],[2601, 368],[2601, 1118],[2180, 1118],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/51.jpg,[2578, 1576],[2857, 1576],[2857, 2221],[2578, 2221],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/23.jpg,[2618, 338],[3047, 338],[3047, 1085],[2618, 1085],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/12.jpg,[431, 1476],[904, 1476],[904, 2393],[431, 2393],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/18.jpg,[585, 428],[1001, 428],[1001, 1058],[585, 1058],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/22.jpg,[951, 1504],[1487, 1504],[1487, 2462],[951, 2462],
X:/Grocery stores/Grocery_products/Training//Food/Coffee/18.jpg,[966, 276],[1475, 276],[1475, 1055],[966, 1055],
